# Northwind Enterprises. Mixed datacenter and endpoint estate (large scale).
# Pipe delimited export from the configuration management database.
Windows Server 2022 | 21H2
Windows Server 2019 | 1809
Windows 11 Pro | 23H2
Windows 10 Pro | 22H2
Microsoft Exchange Server | 2019
Microsoft 365 Apps for Business | Current
VMware vSphere | 8.0
Cisco IOS XE | 17.9
Fortinet FortiOS | 7.4
Apache HTTP Server | 2.4.57
nginx | 1.25
OpenSSL | 3.0.7
Apache Log4j | 2.17
MySQL | 8.0
PostgreSQL | 16
Node.js | 20.11
PHP | 8.2
Google Chrome | Latest
Microsoft Edge | 124
Mozilla Firefox | 124
Adobe Acrobat Reader DC | 2024.001
Zoom | 5.17
7-Zip | 23.01
